Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Label
2682,119.5654297,10.8272847,134.9160156,14.96130352,143.5849609,18.27140783,261.9947402,12.46662819,0.084316867,0.001485097,0.038534473,0.432440475,2
2683,119.203125,10.39135336,134.0683594,14.89459105,142.4443359,18.42215535,262.4433695,12.60514763,0.080415391,0.001454795,0.038138037,0.426835258,2
2684,119.6259766,10.76333425,135.0478516,14.9259453,143.7841797,18.22293862,258.9252325,12.27400657,0.087928866,0.001480841,0.038481424,0.429859803,2
2685,119.6474609,10.54472123,134.9521484,14.67262063,143.5820313,18.00686472,259.848522,12.51987676,0.07939737,0.001467664,0.038307026,0.414900309,2
2686,118.7597656,10.25490081,133.2695313,14.82724771,141.3505859,18.46198426,253.0267381,12.42411063,0.080436768,0.001444542,0.038006831,0.450007714,2
2687,121.3779297,10.69000068,137.4433594,14.11305893,146.4150391,17.38889419,242.8083539,11.91480229,0.084913712,0.001528568,0.039095055,0.405793966,2
2688,119.4550781,10.76887576,134.6083984,14.88116888,143.0927734,18.18084571,270.885853,12.69669452,0.079755146,0.001460592,0.038215583,0.409481415,2
2689,118.7783203,10.38829526,133.203125,14.91511627,141.3378906,18.44240109,262.0877016,12.44948296,0.088345616,0.001451147,0.038093868,0.437766282,2
2690,118.4326172,10.27423538,132.6689453,15.04916333,140.6699219,18.81323798,248.6817768,12.26595018,0.078662224,0.001471345,0.038355993,0.468680117,2
2691,118.9951172,10.72166394,133.9042969,15.20898111,142.2978516,18.70693375,271.374748,12.7654055,0.078391231,0.001452646,0.038110187,0.437888053,2
2692,120.4541016,11.03633217,136.40625,14.801123,145.3222656,17.96778944,269.1095539,12.39504748,0.081822947,0.001492136,0.038626221,0.401298389,2
2693,119.5107422,10.98551434,134.75,15.2353285,143.3310547,18.59652743,281.2511463,12.8523592,0.080267914,0.001484198,0.038522237,0.416701056,2
2694,120.8525391,10.25927236,136.953125,13.86928901,145.9335938,17.05177904,224.251634,11.56241057,0.081981736,0.001553132,0.039408041,0.437259319,2
2695,118.609375,10.37621181,132.9140625,15.17329703,140.9042969,18.88127537,257.2724538,12.38738944,0.086774214,0.001417829,0.03765258,0.46196399,2
2696,121.140625,11.00602418,137.2109375,14.57913607,146.2216797,17.76442742,253.9613115,12.02425046,0.085316248,0.00152542,0.039054443,0.420083085,2
2697,121.3798828,10.57696982,137.4023438,14.06348033,146.3671875,17.36802742,223.4177289,11.53874545,0.085508003,0.001621266,0.040263934,0.447659833,2
2698,118.890625,10.36199062,133.5214844,14.97372462,141.7529297,18.55951394,252.0608253,12.14777901,0.083859921,0.001452663,0.038112323,0.457398764,2
2699,119.203125,10.39135336,134.0683594,14.89459105,142.4443359,18.42215535,262.4433695,12.60514763,0.080415391,0.001454795,0.038138037,0.426835258,2
2700,106.8574219,11.05027501,123.4277344,14.451179,132.1181641,17.05490622,263.935931,12.68554078,0.074978469,0.001467739,0.038310671,0.371126825,2
2701,106.4853516,11.0391606,122.9199219,14.55865808,131.5,17.28658937,268.2410168,12.7566581,0.074572022,0.001524437,0.039042897,0.369635123,2
2702,107.6552734,11.132955,124.0214844,14.58232045,132.9707031,17.23105621,255.9691565,12.51528356,0.079692999,0.001500157,0.038729795,0.41173591,2
2703,106.6699219,10.91830609,122.8769531,14.44711855,131.5361328,17.18450721,249.0220961,12.33596189,0.081738427,0.00151415,0.038911956,0.420673994,2
2704,109.3603516,10.58051488,126.5683594,13.24827579,135.890625,15.495014,226.1944426,11.74256959,0.081591708,0.001555806,0.039441188,0.359426197,2
2705,107.7011719,11.19694776,124.2910156,14.49391296,133.3691406,16.97351064,252.7295054,12.44571898,0.078596316,0.001492236,0.038627397,0.405244192,2
2706,107.3935547,11.16969592,123.3662109,14.58466898,132.0742188,17.24298882,262.7786242,12.67750878,0.07960645,0.001460409,0.038212305,0.401343188,2
2707,106.9833984,11.29032347,122.9082031,14.61943574,131.5908203,17.17720014,256.9800907,12.51717774,0.079412707,0.00147277,0.038375181,0.4206008,2
2708,107.7197266,11.55897588,124.0244141,14.84261146,132.8574219,17.37919193,273.6525673,12.89175501,0.080698112,0.001479725,0.038466279,0.402333007,2
2709,108.8066406,10.17818376,125.7939453,13.18326067,135.1445313,15.61370246,215.9311264,11.58127927,0.088605082,0.001558679,0.039479677,0.391127966,2
2710,107.0654297,11.37253649,123.1875,14.63901572,131.8603516,17.15289215,263.5075849,12.69184931,0.078216808,0.001498391,0.038704637,0.406680289,2
2711,107.5673828,11.06856078,124.4160156,14.2902658,133.2753906,16.70856407,252.6138056,12.53916005,0.07460964,0.001506087,0.038806939,0.398458881,2
2712,108.9960938,11.14043804,125.6152344,14.12134917,134.9677734,16.43060503,246.3151746,12.126569,0.081117495,0.001526261,0.039066014,0.383159199,2
2713,108.4716797,10.14471358,125.4414063,13.06020032,134.7734375,15.36729474,215.1352188,11.53434736,0.081130524,0.001623499,0.040291776,0.382894465,2
2714,107.0869141,11.06370335,122.9804688,14.60166439,131.5283203,17.39446916,260.5027071,12.6221953,0.080164408,0.001483207,0.038511728,0.407078191,2
2715,107.1660156,10.79793896,123.6728516,14.22940553,132.5800781,16.86143649,234.4953662,12.04045265,0.078405025,0.001549617,0.039361741,0.428285661,2
2716,107.7060547,10.51526617,124.6396484,13.65206709,133.6621094,16.05255924,228.6800127,11.96877439,0.076841784,0.001560737,0.03950609,0.394524836,2
2717,108.2480469,11.37984942,125.3857422,14.52861642,134.3691406,16.94149125,263.8093539,12.63538144,0.075789842,0.001533457,0.039152977,0.380316737,2
2718,108.5898438,10.98408536,125.4208984,13.92101017,134.5869141,16.15338661,246.1192443,12.27380333,0.080710847,0.001560037,0.039492262,0.372860998,2
2719,108.1240234,11.2661884,124.9462891,14.37989203,133.9960938,16.7176689,250.2014178,12.38337344,0.081146808,0.001527344,0.039079711,0.405655166,2
2720,145.6181641,26.96209909,152.7724609,28.39622663,157.2236328,28.42722665,1010.072784,24.68606107,0.03824879,0.001168281,0.034179397,0.348422116,2
2721,145.625,27.17205021,152.671875,28.50544339,157.1015625,28.43024354,1029.564784,24.94547509,0.037936173,0.001142718,0.033802388,0.343116585,2
2722,145.3798828,27.57821309,152.3496094,28.98532832,156.6699219,28.9464827,1043.786429,25.05428102,0.037208089,0.001155178,0.033987544,0.350678484,2
2723,144.6074219,26.73145136,151.7451172,28.25584971,156.3164063,28.29713788,1022.437728,24.94354839,0.038898439,0.001152405,0.033946604,0.336223974,2
2724,139.9482422,28.48536934,146.8212891,30.57838122,151.2519531,30.89288127,1005.753105,24.6846384,0.043976242,0.001130432,0.033621491,0.440996726,2
